id,name,type
DEV1,A3000RU V5.9c.5185_B20201128,devices
DEV2,A3100R V4.1.2cu.5050_B20200504,devices
DEV3,A800R V4.1.2cu.5137_B20200730,devices
DEV4,A810R V4.1.2cu.5182_B20201026,devices
DEV5,A950RG V4.1.2cu.5161_B20200903,devices
DEV6,Control and Collect Sensitive Information from a Victim’s Device,devices
DEV7,D-Link DIR-645,devices
DEV8,D-Link DIR-806,devices
DEV9,D-Link DIR-845L,devices
DEV10,D-Link GO-RT-AC750 GORTAC750_revA_v101b03,devices
DEV11,D-Link GO-RT-AC750_revB_FWv200b02,devices
DEV12,Dasan GPON home routers,devices
DEV13,DrayTek Vigor2960,devices
DEV14,Four-Faith router models F3x24,devices
DEV15,Four-Faith router models F3x36,devices
DEV16,Huawei HG532 routers,devices
DEV17,iPhone,devices
DEV18,Ivanti Connect Secure,devices
DEV19,JAWS webservers,devices
DEV20,system backups,devices
DEV21,system information,devices
DEV22,TBK DVR-4104,devices
DEV23,TBK DVR-4216,devices
DEV24,TOTOLINK A830R V5.9c.4729_B20191112,devices
DEV25,TOTOLINK N600R V4.3.0cu.7570_B20200620,devices
DEV26,TP-Link Archer AX21,devices
DEV27,Vigor300B 1.5.1.4,devices
