id,name,type
URL1,ad59t82g[.]com,urls
URL2,AWS,urls
URL3,AWSPowerShell.Common/4.1.534.0 ua/2.0.NET,urls
URL4,AWSPowerShell.Common/4.1.90.0.NET_Core/6.0.5 OS/Microsoft_Windows_10.0.17763 PowerShellCore/7.-1 ClientAsync,urls
URL5,Billingdepartments1[@]gkjyryfjy876.onmicrosoft.com,urls
URL6,C2 server,urls
URL7,command and control server,urls
URL8,Dark Web,urls
URL9,deceptive holiday-themed domains,urls
URL10,https://bankslip[.]info/document/scancop20233108[.]exe,urls
URL11,hxxp://5[.]10[.]249[.]153,urls
URL12,hxxp://94[.]228[.]168[.]60:8080,urls
URL13,Hxxp://iNVsetmX[.]cOM/ipa.AsPX,urls
URL14,hxxp://PayPal[.]com,urls
URL15,hxxps://cutt[.]ly/4rnmskDe,urls
URL16,hxxps://tbet[.]geontrigame[.]com/zxchzzmism,urls
URL17,kpuszkiev.com,urls
URL18,malicious URL,urls
URL19,serviciodecorreo.es,urls
URL20,shortened URL,urls
URL21,Telegram channel,urls
URL22,thinkforce[.]com[.]br,urls
URL23,twszz[.]xin,urls
