source_id,source_name,relation,target_id,target_name,id
TOO95,FortiCNAPP Composite Alerts,used by,MAL57,Lcrypt0rx,REL1
MAL57,Lcrypt0rx,used by,TOO120,H2miner,REL2
MAL26,Dark 101,target,TOO104,FortiSandbox 5.0,REL3
TOO219,Rust,used by,MAL57,Lcrypt0rx,REL4
MAL76,NordDragonScan,uses,TOO244,TBK DVRs,REL5
MAL76,NordDragonScan,uses,TOO105,Four-Fa,REL6
MAL72,NailaoLocker,is a,MAL84,Ransomware,REL7
MAL72,NailaoLocker,targets,TOO168,Microsoft Windows,REL8
MAL72,NailaoLocker,drop,FIL143,usysdiag.exe,REL9
MAL72,NailaoLocker,drop,FIL128,sensapi,REL10
TOO120,H2miner,uses,TOO145,KinSing,REL11
TOO120,H2miner,uses,TOO284,Xmrig miners,REL12
TOO120,H2miner,associated with,MAL57,Lcrypt0rx,REL13
MAL58,Lcryx,is a,MAL84,Ransomware,REL14
MAL57,Lcrypt0rx,is a,MAL58,Lcryx,REL15
MAL58,Lcryx,uses,TOO159,Lumma Stealer,REL16
MAL58,Lcryx,uses,TOO75,DCRAT,REL17
MAL58,Lcryx,uses,TOO54,Cobalt Strike,REL18
TOO120,H2miner,targets,TOO154,Linux,REL19
TOO120,H2miner,targets,TOO275,Windows,REL20
TOO120,H2miner,targets,TOO57,Containers,REL21
TOO98,FortiGuard Labs,analyze,MAL26,Dark 101,REL22
MAL26,Dark 101,is,MAL84,Ransomware,REL23
MAL26,Dark 101,use,TOO29,Bitcoin,REL24
TOO103,FortiSandbox,used by,TOO98,FortiGuard Labs,REL25
MAL76,NordDragonScan,drop,MAL76,NordDragonScan,REL26
FIL91,hxxps://secfileshare[.]com,download,FIL154,Укрспецзв_Акт_30_05_25_ДР25_2313_13 від 26_02_2025.rar,REL27
TOO217,RondoDox,exploits,VUL21,CVE-2024-3721,REL28
TOO217,RondoDox,exploits,VUL18,CVE-2024-12856,REL29
TOO217,RondoDox,uses,FIL68,ELF binary,REL30
TOO100,FortiMail IR team,uses,FIL82,file drops,REL31
TOO75,DCRAT,is,MAL93,Remote Access Trojan,REL32
TOO122,Havoc,deploy,FIL53,cmd.exe,REL33
TOO122,Havoc,communicate with,TOO38,C2 server,REL34
TOO243,Task Scheduler,launch,FIL55,conhost.exe,REL35
FIL55,conhost.exe,execute,FIL54,conhost.dll,REL36
TOO98,FortiGuard Labs,targets,TOO168,Microsoft Windows,REL37
TOO98,FortiGuard Labs,uses,MAL125,winos 4.0,REL38
TOO98,FortiGuard Labs,targets,TOO241,Taiwan,REL39
MAL48,HoldingHands RAT,aka,MAL38,Gh0stBins,REL40
MAL96,RolandSkimmer,targets,TOO36,Bulgaria,REL41
MAL96,RolandSkimmer,uses,FIL100,LNK file,REL42
MAL96,RolandSkimmer,uses,FIL78,faktura_1065170.lnk,REL43
FIL78,faktura_1065170.lnk,execute,FIL60,C:\WiNDOws\SYsTEM32\MShTA.exe,REL44
MAL96,RolandSkimmer,target,TOO168,Microsoft Windows,REL45
MAL96,RolandSkimmer,associated with,ATT1,2025 Global Threat Landscape Report,REL46
TOO192,phishing,targets,TOO277,Windows Users,REL47
TOO192,phishing,exploits,VUL6,CVE-2017-0199,REL48
TOO192,phishing,delivers,TOO89,Excel,REL49
TOO89,Excel,exploits,VUL6,CVE-2017-0199,REL50
TOO192,phishing,uses,MAL37,FormBook,REL51
MAL37,FormBook,collects,TOO157,login credentials,REL52
MAL37,FormBook,collects,TOO144,keystrokes,REL53
MAL37,FormBook,collects,TOO53,clipboard information,REL54
TOO192,phishing,associated with,ATT1,2025 Global Threat Landscape Report,REL55
TOO192,phishing,has subject,TOO221,sales order,REL56
TOO99,FortiMail,detects,TOO192,phishing,REL57
TOO97,FortiGuard Incident Response Team,execute,FIL47,batch of scripts,REL58
TOO97,FortiGuard Incident Response Team,execute,TOO201,PowerShell,REL59
TOO97,FortiGuard Incident Response Team,drop,FIL88,fullout,REL60
TOO97,FortiGuard Incident Response Team,deploy,FIL88,fullout,REL61
TOO97,FortiGuard Incident Response Team,use,FIL62,dllhost.exe,REL62
TOO97,FortiGuard Incident Response Team,drop,FIL119,pid.8200.vad.0x1c3eefb0000-0x1c3ef029fff.dmp,REL63
TOO97,FortiGuard Incident Response Team,deploy,FIL119,pid.8200.vad.0x1c3eefb0000-0x1c3ef029fff.dmp,REL64
MAL37,FormBook,exploits,VUL7,CVE-2017-11882,REL65
MAL37,FormBook,uses,FIL92,ImagingDevices.exe,REL66
MAL37,FormBook,communicatesWith,TOO38,C2 server,REL67
MAL118,VanHelsing,is,MAL84,Ransomware,REL68
MAL118,VanHelsing,targets,TOO168,Microsoft Windows,REL69
MAL118,VanHelsing,hash,HAS4,SHA2: 99959C5141F62D4FBB60EFDC05260B6E956651963D29C36845F435815062FD98,REL70
MAL49,Horabot,uses,TOO192,phishing,REL71
MAL49,Horabot,uses,TOO267,VBScript,REL72
MAL49,Horabot,uses,TOO22,AutoIt,REL73
MAL49,Horabot,uses,TOO201,PowerShell,REL74
MAL49,Horabot,steals,FIL69,email credentials,REL75
MAL49,Horabot,harvests,FIL56,contact lists,REL76
MAL49,Horabot,installs,MAL16,banking trojans,REL77
MAL49,Horabot,targets,TOO151,Latin America,REL78
MAL49,Horabot,targets,TOO165,Mexico,REL79
MAL49,Horabot,targets,TOO119,Guatemala,REL80
MAL49,Horabot,targets,TOO55,Colombia,REL81
MAL49,Horabot,targets,TOO191,Peru,REL82
MAL49,Horabot,targets,TOO47,Chile,REL83
MAL49,Horabot,targets,TOO20,Argentina,REL84
MAL49,Horabot,uses,FIL76,Factura Adjunta,REL85
MAL93,Remote Access Trojan,is,TOO212,RAT,REL86
